* Measurement data measured by REW V5.31.3
* Source: Trace Arithmetic result Excess phase
* Format: Trace Arithmetic result Excess phase
* Dated: 13/11/2024 2:21:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Excess phase copy of L+R Jun 23-EP Cal file effects included No LF tail No HF tail
* Measurement: L+R Jun 23-EP
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 22.338867 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
735.790271 0.010 7.7011
741.122110 0.010 7.7735
746.492587 0.010 7.8524
751.901980 0.010 7.9336
757.350571 0.010 8.0130
762.838646 0.010 8.0862
768.366489 0.010 8.1492
773.934389 0.010 8.1987
779.542637 0.010 8.2316
785.191524 0.010 8.2459
790.881346 0.010 8.2402
796.612398 0.010 8.2142
802.384980 0.010 8.1682
808.199392 0.010 8.1034
814.055938 0.010 8.0219
819.954923 0.010 7.9265
825.896654 0.010 7.8209
831.881442 0.010 7.7093
837.909598 0.010 7.5966
843.981436 0.010 7.4878
850.097274 0.010 7.3878
856.257429 0.010 7.3013
862.462223 0.010 7.2327
868.711980 0.010 7.1855
875.007025 0.010 7.1628
881.347687 0.010 7.1670
887.734295 0.010 7.1994
894.167184 0.010 7.2606
900.646688 0.010 7.3501
907.173145 0.010 7.4663
913.746896 0.010 7.6063
920.368282 0.010 7.7664
927.037650 0.010 7.9423
933.755347 0.010 8.1287
940.521724 0.010 8.3202
947.337132 0.010 8.5111
954.201927 0.010 8.6956
961.116468 0.010 8.8680
968.081114 0.010 9.0227
975.096228 0.010 9.1548
982.162178 0.010 9.2595
989.279330 0.010 9.3334
996.448056 0.010 9.3738
1003.668729 0.010 9.3796
1010.941726 0.010 9.3508
1018.267427 0.010 9.2888
1025.646212 0.010 9.1966
1033.078467 0.010 9.0778
1040.564580 0.010 8.9372
1048.104940 0.010 8.7804
1055.699940 0.010 8.6134
1063.349977 0.010 8.4425
1071.055449 0.010 8.2741
1078.816759 0.010 8.1144
1086.634310 0.010 7.9692
1094.508510 0.010 7.8437
1102.439770 0.010 7.7424
1110.428503 0.010 7.6687
1118.475125 0.010 7.6251
1126.580057 0.010 7.6126
